fichier;source;artiste_fichier;titre_fichier;resultat;score;artiste_discogs;titre_discogs;genre;style;annee;label;release_id
2019-01-02\Hidden Empire Hummus_Original_Mix.mp3;tags;Hidden Empire;Hummus (Original Mix);MATCH;100.0;Hidden Empire;Hummus;Electronic;Techno/Tech House;2018;Stil Vor Talent;11775947
2019-01-02\Maceo Plex_Conjure_Dreams_Original_Mix.mp3;tags;Maceo Plex;Conjure Dreams (Original Mix);MATCH;100.0;Maceo Plex;Conjure Dreams;Electronic;Techno;2014;Drumcode;6415291
2019-01-02\Mark Reeve_Far_Away_Original_Mix.mp3;tags;Mark Reeve;Far Away (Original Mix);MATCH;100.0;Mark Reeve;Far Away;Electronic;Techno;2018;Drumcode;11882353
2019-01-02\Olivier Giacomotto_Bipolar_Star_Victor_Ruiz_Remix.mp3;tags;Olivier Giacomotto;Bipolar Star (Victor Ruiz Remix);MATCH;100.0;Olivier Giacomotto;Bipolar Star (Victor Ruiz Remix);Electronic;Techno/Tech House;2018;Noir Music;11664725
2019-01-02\Tibau_Melodia_Mollono_Bass_Remix.mp3;tags;Tibau;Melodia (Mollono.Bass Remix);NON;0.0;;;;;;;
2019-03-09\Adriatique - Ray (Original Mix).mp3;tags;Adriatique;Ray (Original Mix);MATCH;100.0;Adriatique;Ray;Electronic;Deep House;2018;Afterlife (6);11702675
2019-03-09\Adriatique - Space Knights (Original Mix).mp3;tags;Adriatique;Space Knights (Original Mix);NON;0.0;;;;;;;
2019-03-09\ASYS - The Acid (Original Version).mp3;tags;A*S*Y*S;The Acid (Original Version);NON;0.0;;;;;;;
2019-03-09\Boys Noize - Midnight (Boys Noize & Mr. Oizo Handbraekes Remix).mp3;tags;Boys Noize;Midnight (Boys Noize & Mr. Oizo Handbraekes Remix);MATCH;100.0;Boys Noize;Midnight (Boys Noize & Mr. Oizo Handbraekes Remix);Electronic;Techno;2016;Boysnoize Records;9194373
2019-03-09\Dino Lenny - Guilty Officer (Maceo Plex Remix).mp3;tags;Dino Lenny;Guilty Officer (Maceo Plex Remix);MATCH;100.0;Dino Lenny;Guilty Officer (Maceo Plex Remix);Electronic;Deep Techno/Techno;2018;Ellum Audio;13020577
2019-03-09\Gesaffelstein - Destinations (Original Mix).mp3;tags;Gesaffelstein;Destinations (Original Mix);MATCH;100.0;Gesaffelstein;Destinations;Electronic;Techno/Electro;2013;The Vinyl Factory;5042266
2019-03-09\Gesaffelstein - Opr (Original Mix).mp3;tags;Gesaffelstein;Opr (Original Mix);MATCH;100.0;Gesaffelstein;Opr;Electronic;Techno/Electro;2011;Turbo;2996303
2019-03-09\Gesaffelstein - Viol (Original Mix).mp3;tags;Gesaffelstein;Viol (Original Mix);MATCH;100.0;Gesaffelstein;Viol;Electronic;Techno/Electro;2011;Turbo;2996303
2019-03-09\Marco Faraone - Never Forget (Original Mix).mp3;tags;Marco Faraone;Never Forget (Original Mix);MATCH;100.0;Marco Faraone;Never Forget;Electronic;Techno;2018;Drumcode;12903013
2019-03-09\Marco Faraone - On My Way (Dub Acid Rework).mp3;tags;Marco Faraone;On My Way (Dub Acid Rework);MATCH;100.0;Marco Faraone;On My Way;Electronic;Techno/Acid House/Footwork;2018;REKIDS;12023035
2019-03-09\Marco Faraone - Stage Capture (Original Mix).mp3;tags;Marco Faraone;Stage Capture (Original Mix);MATCH;100.0;Marco Faraone;Stage Capture;Electronic;Techno/Acid/Tech House;2018;On Edge Society;11700703
2019-03-09\Marco Faraone - Take This Trip (Original Mix).mp3;tags;Marco Faraone;Take This Trip (Original Mix);MATCH;100.0;Marco Faraone;Take This Trip;Electronic;Techno;2018;Drumcode;12903013
2019-03-09\Nathan Fake - The Sky Was Pink (Icelandic Version).mp3;tags;Nathan Fake;The Sky Was Pink (Icelandic Version);MATCH;100.0;Nathan Fake;The Sky Was Pink (Icelandic Version);Electronic;Leftfield/Progressive House/IDM/Downtempo/Minimal;2004;Border Community;314449
2019-03-09\Popof - Bowo (Original Mix).mp3;tags;Popof;Bowo (Original Mix);MATCH;100.0;Popof;Bowo;Electronic;Techno/Tech House;2018;Form Music;12349728
2019-03-09\Popof - Confusion (Original).mp3;tags;Popof;Confusion (Original);NON;0.0;;;;;;;
2019-03-09\Teenage Mutants - Future (Original Mix).mp3;tags;Teenage Mutants;Future (Original Mix);MATCH;100.0;Teenage Mutants;Future;Electronic;Techno;2018;Set About;15347897
2019-03-23\Agoria - Boomerang (Original Mix).mp3;tags;Agoria;Boomerang (Original Mix);MATCH;100.0;Agoria;Boomerang;Electronic;Techno/Experimental;2017;sapiens;11208922
2019-03-23\Daniel Steinberg - No One Can Change Me (Nick Holder Remix).mp3;tags;Daniel Steinberg;No One Can Change Me (Nick Holder Remix);MATCH;100.0;Daniel Steinberg;No One Can Change Me (Nick Holder Remix);Electronic;Tech House/Deep House/House;2016;Arms & Legs;8298589
2019-03-23\Daniel Steinberg - Public Illusion (Original Mix).mp3;tags;Daniel Steinberg;Public Illusion (Original Mix);MATCH;100.0;Daniel Steinberg;Public Illusion;Electronic;House/Tech House;2018;Arms & Legs;29265898
2019-03-23\Dimmish - Brain Tornado (Original Mix).mp3;tags;Dimmish;Brain Tornado (Original Mix);MATCH;100.0;Dimmish;Brain Tornado;Electronic;Deep House;2019;e1even records;15586531
2019-03-23\Dirty Doering - Dagga (Original Mix).mp3;tags;Dirty Doering;Dagga (Original Mix);MATCH;100.0;Dirty Doering;Dagga;Electronic;Deep House;2018;Einmusika Recordings;13346524
2019-03-23\Dubfire, Oliver Huntemann - Terra (Joseph Capriati Remix).mp3;tags;Oliver Huntemann, Dubfire;Terra (Joseph Capriati Remix);MATCH;98.4;Dubfire & Oliver Huntemann;Terra (Joseph Capriati Remix);Electronic;Techno;2016;Senso Sounds;8758642
2019-03-23\Einmusik, Seth Schwarz - Eisheimer (Original Mix).mp3;tags;Einmusik, Seth Schwarz;Eisheimer (Original Mix);MATCH;100.0;Einmusik;Eisheimer;Electronic;Deep House/Progressive House;2018;Katermukke;12770493
2019-03-23\François Rengère - Greed (Original Mix).mp3;tags;Francois Rengere;Greed (Original Mix);MATCH;100.0;François Rengère;Greed;Electronic;Deep House;2014;Parquet Recordings;7598381
2019-03-23\Sebastien Leger - La Danse Du Scorpion (Julian Wassermann Remix).mp3;tags;Sebastien Leger;La Danse Du Scorpion (Julian Wassermann Remix);NON;68.8;Sébastien Léger;We Are (Jimmy Van De Velde Remix);;;;;
2019-03-23\Solee - Zebra (Original Mix).mp3;tags;Solee;Zebra (Original Mix);MATCH;100.0;Solee;Zebra;Electronic;Minimal/Tech House;2012;Parquet Recordings;3570485
2019-06-10\Kris_Petroleum_Original_Mix.mp3;tags;Kris Davis;Petroleum (Original Mix);NON;0.0;;;;;;;
2019-06-10\My Favorite Robot_Manifesto_Original_Mix.mp3;tags;My Favorite Robot;Manifesto (Original Mix);MATCH;100.0;My Favorite Robot;Manifesto;Electronic;Minimal Techno/Tech House;2015;My Favorite Robot Records;7183817
2019-06-10\Rob Hes_Ctrl_Original_Mix.mp3;tags;Rob Hes;Ctrl (Original Mix);NON;0.0;;;;;;;
2019-06-10\The_Future_Dance_Rigopolar_Remix.mp3;tags;Futuristant;The Future Dance (Rigopolar Remix);NON;0.0;;;;;;;
2019-06-10\Work_It_Soulwax_Remix.mp3;tags;Marie Davidson;Work It (Soulwax Remix);MATCH;100.0;Marie Davidson;Work It (Soulwax Remix);Electronic;Synth-pop/Electro;2019;Ninja Tune;13461320
2019-12-06 - Yannick\Braunbeck, Hazel (DE) - Sole (Original Mix).wav;nom de fichier;Braunbeck, Hazel (DE);Sole (Original Mix);NON;0.0;;;;;;;
2019-12-06 - Yannick\Destination_Reached_Konvex_the_Shadow_Edit_.mp3;tags;Konvex & The Shadow;Destination Reached (Konvex & the Shadow Edit);NON;66.7;Konvex & The Shadow;Shining Like Haloes (The Drifter Remix);;;;;
2019-12-06 - Yannick\Innellea - The World Returns (Original Mix).wav;nom de fichier;Innellea;The World Returns (Original Mix);MATCH;100.0;Innellea;The World Returns;Electronic;Neo Trance;2019;Afterlife (6);14548376
2019-12-06 - Yannick\Innellea - Visionquest (Original Mix).wav;nom de fichier;Innellea;Visionquest (Original Mix);MATCH;100.0;Innellea;Visionquest;Electronic;Neo Trance;2019;Afterlife (6);14548376
2019-12-06 - Yannick\Innellea - We Thrive (Original Mix).wav;nom de fichier;Innellea;We Thrive (Original Mix);MATCH;100.0;Innellea;We Thrive;Electronic;Neo Trance;2019;Afterlife (6);14548376
2019-12-06 - Yannick\Polo & Pan - Gengis (Original Mix).wav;nom de fichier;Polo & Pan;Gengis (Original Mix);MATCH;100.0;Polo & Pan;Gengis;Electronic;Downtempo/Nu-Disco;2019;Universal Music Distribution Deal;14103069
2019-12-06 - Yannick\Superorganism - Everybody Wants To Be Famous (Polo & Pan Remix).wav;nom de fichier;Superorganism;Everybody Wants To Be Famous (Polo & Pan Remix);MATCH;86.0;Superorganism;Everybody Wants To Be Famous;Electronic/Pop;Indie Pop;2018;Domino;11632351
2020-07-06\ASA MOTO - Make Me Prada (Original Mix).mp3;tags;ASA MOTO;Make Me Prada (Original Mix);MATCH;100.0;Asa Moto;Make Me Prada;Electronic;Tech House;2017;Deewee;10312522
2020-07-06\Beije - Amor (Original Mix).mp3;tags;Beije;Amor (Original Mix);NON;0.0;;;;;;;
